accession	gene	protein_name	length	organism	organism_taxon_id	disease_uniprot_name	disease_uniprot_id	disease_acronym	mim_id	uniprot_url
P9WHG9	relA	Bifunctional (p)ppGpp synthase/hydrolase RelA	738	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHG9
P9WHH1	trxB	Thioredoxin reductase	335	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHH1
P9WHH9	lpdC	Dihydrolipoyl dehydrogenase	464	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHH9
P9WHR3	hip1	Serine protease Hip1	520	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHR3
P9WHU1	prcA	Proteasome subunit alpha	248	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHU1
P9WHX5	PPE63	Esterase PPE63	479	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHX5
P9WI65	pknK	Serine/threonine-protein kinase PknK	1110	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WI65
P9WI73	pknG	Serine/threonine-protein kinase PknG	750	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WI73
P9WIB3	plcB	Phospholipase C B	521	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIB3
P9WIK3	cysH	Adenosine 5'-phosphosulfate reductase	254	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIK3
P9WIQ1	glf	UDP-galactopyranose mutase	399	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIQ1
P9WIU7	lysA	Diaminopimelate decarboxylase	447	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIU7
P9WJ03	sir	Sulfite reductase [ferredoxin]	555	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJ03
P9WJ67	rslA	Anti-sigma-L factor RslA	250	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJ67
P9WJA9	garA	Glycogen accumulation regulator GarA	162	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJA9
P9WJD9	espB	ESX-1 secretion-associated protein EspB	460	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJD9
P9WJF1	dprE1	Decaprenylphosphoryl-beta-D-ribose oxidase	461	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJF1
P9WJJ3	nadE	Glutamine-dependent NAD(+) synthetase	679	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJJ3
P9WJK3	mviN	Probable peptidoglycan biosynthesis protein MviN	1184	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJK3
P9WK09	mymT	Metallothionein	53	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WK09
P9WKE3	prs	Ribose-phosphate pyrophosphokinase	326	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKE3
P9WKH1		(2E,6E)-farnesyl diphosphate synthase	359	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKH1
P9WKI9	suhB	Inositol-1-monophosphatase SuhB	290	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKI9
P9WM67	fcoT	(2E)-enoyl-[ACP] glycyltransferase	183	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WM67
P9WMF9	devR	DNA-binding transcriptional activator DevR/DosR	217	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMF9
P9WMJ9	dnaK	Chaperone protein DnaK	625	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMJ9
P9WMR3	dnaB	Replicative DNA helicase DnaB	874	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMR3
P9WMU1	wag31	Cell wall synthesis protein Wag31	260	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMU1
P9WN21	glpX	Fructose-1,6-bisphosphatase class 2	362	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN21
P9WN23	glbO	Group 2 truncated hemoglobin GlbO	128	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN23
P9WNB3	eccCa1	ESX-1 secretion system protein EccCa1	747	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNB3
P9WND1	folP1	Dihydropteroate synthase	280	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WND1
P9WNF9	ethA	FAD-containing monooxygenase EthA	489	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNF9
P9WNG3	fabH	Mycobacterial beta-ketoacyl-[acyl-carrier-protein] synthase III	335	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNG3
P9WNP3	htdZ	3-hydroxyacyl-thioester dehydratase Z	151	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNP3
P9WNU9	dop	Pup deamidase/depupylase	505	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNU9
P9WNW5	disA	DNA integrity scanning protein DisA	358	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNW5
P9WNZ1	coaBC	Coenzyme A biosynthesis bifunctional protein CoaBC	418	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNZ1
P9WPB5	cmaA2	Cyclopropane mycolic acid synthase 2	302	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPB5
P9WPE5	groES	Co-chaperonin GroES	100	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPE5
P9WPH3	cdd	Cytidine deaminase	133	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPH3
P9WPJ7	mtcA1	Beta-carbonic anhydrase 1	163	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPJ7
P9WPP7	cyp121	Mycocyclosin synthase	396	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPP7
P9WPQ9	bfr	Bacterioferritin BfrA	159	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPQ9
P9WQ17	glgE	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	701	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ17
P9WQ19	treS	Trehalose synthase/amylase TreS	601	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ19
P9WQ43	fadD26	Long-chain-fatty-acid--AMP ligase FadD26	583	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ43
P9WQ63	mbtB	Phenyloxazoline synthase MbtB	1414	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ63
P9WQ75	ilvE	Branched-chain-amino-acid aminotransferase	368	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ75
P9WQ87	bioF1	8-amino-7-oxononanoate synthase 1	386	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ87
P9WQE3	ppsD	Phenolphthiocerol/phthiocerol polyketide synthase subunit D	1827	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQE3
P9WQI3	sugC	Trehalose import ATP-binding protein SugC	393	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQI3
P9WQI9	bacA	Hydrophilic compounds import ATP-binding/permease protein BacA	639	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQI9
P9WQJ9	irtA	Mycobactin import ATP-binding/permease protein IrtA	859	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQJ9
P9WQP7		3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	370	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQP7
Q6MX01	whiB7	Probable transcriptional regulator WhiB7	92	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/Q6MX01
I6XD69	pks12	Mycoketide-CoA synthase	4151	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6XD69
I6XFS7		RNA/DNA methyltransferase Rv2966c	188	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6XFS7
I6Y778	fabG4	3-oxoacyl-[acyl-carrier-protein] reductase [NADH]	454	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6Y778
I6YFP0	birA	Biotin--[acetyl-CoA-carboxylase] ligase	266	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6YFP0
I6YHB0	hns	Histone-like protein Rv3852	134	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6YHB0
L0T905	rseA	Anti-sigma-E factor RseA	154	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/L0T905
O05306	log	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	187	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O05306
O05307	fadD6	Medium/long-chain-fatty-acid--CoA ligase FadD6	597	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O05307
O05442	cpnT	Outer membrane channel protein CpnT	846	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O05442
O06428	grcC1	Nonaprenyl diphosphate synthase	335	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06428
O06543	mcr	Alpha-methylacyl-CoA racemase	360	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06543
O07427		Monoacylglycerol lipase	279	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O07427
O33194		D-glycerol 3-phosphate phosphatase	353	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O33194
O33289	argA	Amino-acid acetyltransferase	174	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O33289
O53181	korB	2-oxoglutarate oxidoreductase subunit KorB	373	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53181
O53423		GDSL-like esterase Rv1075c	314	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53423
O53424	lipU	Esterase LipU	297	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53424
O53443	phoH2	Protein PhoH2	433	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53443
O53512	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG	462	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53512
P71857	fadE28	Acyl-CoA dehydrogenase FadE28	339	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71857
P71858	fadE29	Acyl-CoA dehydrogenase FadE29	387	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71858
P71875	kshA	3-ketosteroid-9-alpha-monooxygenase, oxygenase component	386	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71875
P95125	lipN	Carboxylic ester hydrolase LipN	376	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P95125
P96202	ppsC	Phenolphthiocerol/phthiocerol polyketide synthase subunit C	2188	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96202
P96368	trcS	Sensor histidine kinase TrcS	509	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96368
P9WF39	whiB4	Transcriptional regulator WhiB4	118	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WF39
P9WF43	whiB1	Transcriptional regulator WhiB1	84	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WF43
P9WFF5		(2Z,6E)-farnesyl diphosphate synthase	262	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFF5
P9WFR9	thyA	Thymidylate synthase ThyA	266	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFR9
P9WFV7	glyQS	Glycine--tRNA ligase	463	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFV7
P9WG39	ilvG	Acetolactate synthase large subunit IlvG	547	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG39
P9WG45	gyrB	DNA gyrase subunit B	675	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG45
P9WG67	trxA	Thioredoxin	116	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG67
P9WGD9	ftsY	Signal recognition particle receptor FtsY	422	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGD9
P9WGI1	sigA	RNA polymerase sigma factor SigA	528	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGI1
P9WGK5	senX3	Sensor-like histidine kinase SenX3	410	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGK5
P9WGM3	pdtaR	Transcriptional regulatory protein PdtaR	205	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGM3
P9WGM7	mtrA	DNA-binding response regulator MtrA	228	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGM7
P9WGT3	mabA	3-oxoacyl-[acyl-carrier-protein] reductase MabA	247	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGT3
P9WGU5	oppA	Oligopeptide-binding protein OppA	591	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGU5
P9WGX7	rsbW	Anti-sigma-F factor RsbW	168	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGX7
P9WGZ9	rnj	Ribonuclease J	558	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGZ9
P9WH69	nrdB	R2-like ligand binding oxidase	314	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WH69
P9WHF3	rho	Transcription termination factor Rho	602	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHF3
P9WHS1	mec	CysO-cysteine peptidase	146	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHS1
P9WHT9	prcB	Proteasome subunit beta	291	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHT9
P9WHV7	ppnK	NAD kinase	307	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHV7
P9WI83	pknA	Serine/threonine-protein kinase PknA	431	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WI83
P9WIB9		Secreted chorismate mutase	199	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIB9
P9WIC3	pheA	Prephenate dehydratase	321	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIC3
P9WIC7	gpgP	Glucosyl-3-phosphoglycerate phosphatase	223	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIC7
P9WIE5	katG	Catalase-peroxidase	740	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIE5
P9WII3	mazF6	Endoribonuclease MazF6	114	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WII3
P9WIK5	papA3	Acyltransferase PapA3	472	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIK5
P9WIL7	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	281	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIL7
P9WIV9	nuoG	NADH-quinone oxidoreductase subunit G	806	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIV9
P9WJ63	tlyA	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	268	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJ63
P9WJH7	ndkA	Nucleoside diphosphate kinase	136	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJH7
P9WJN1	mca	Mycothiol S-conjugate amidase	288	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJN1
P9WJV5	mmpL3	Trehalose monomycolate exporter MmpL3	944	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJV5
P9WK17	glcB	Malate synthase G	741	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WK17
P9WK19	map	Methionine aminopeptidase 2	285	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WK19
P9WK83	lipB	Octanoyltransferase	230	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WK83
P9WKD3	blaC	Beta-lactamase	307	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKD3
P9WKI7	guaB	Inosine-5'-monophosphate dehydrogenase	529	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKI7
P9WKJ1	cysQ	3'-phosphoadenosine 5'-phosphate phosphatase	267	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKJ1
P9WLH5		Bifunctional protein Rv2228c	364	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WLH5
P9WLL7		F420H(2)-dependent biliverdin reductase	137	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WLL7
P9WM39		Esterase Rv1288	456	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WM39
P9WMI9	cmtR	HTH-type transcriptional regulator CmtR	118	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMI9
P9WML5	pat	Aromatic amino acid aminotransferase	353	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WML5
P9WMN7	moeZ	Probable adenylyltransferase/sulfurtransferase MoeZ	392	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMN7
P9WMQ3	recB	RecBCD enzyme subunit RecB	1094	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMQ3
P9WMY3	wbbL	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	307	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMY3
P9WMZ5	pimA	Phosphatidyl-myo-inositol mannosyltransferase	378	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMZ5
P9WN11	otsA	Trehalose-6-phosphate synthase	500	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN11
P9WN39	glnA1	Glutamine synthetase	478	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN39
P9WN83	gap	Glyceraldehyde-3-phosphate dehydrogenase	339	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN83
P9WN85	zur	Zinc uptake regulation protein	130	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN85
P9WN95	ftsZ	Cell division protein FtsZ	379	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN95
P9WNE1	fgd1	F420-dependent glucose-6-phosphate dehydrogenase	336	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNE1
P9WNE5	bfrB	Bacterioferritin BfrB	181	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNE5
P9WNH5	hsaD	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	291	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNH5
P9WNU7	pafA	Pup--protein ligase	452	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNU7
P9WNV1	ligA	DNA ligase A	691	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNV1
P9WNV3	ligD	Multifunctional non-homologous end joining DNA repair protein LigD	759	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNV3
P9WNW9	hisD	Histidinol dehydrogenase	444	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNW9
P9WNZ3	desA3	NADPH-dependent stearoyl-CoA 9-desaturase	427	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNZ3
P9WP23	dapB	4-hydroxy-tetrahydrodipicolinate reductase	245	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WP23
P9WPA3	coaE	Dephospho-CoA kinase	407	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPA3
P9WPA9	cmk	Cytidylate kinase	230	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPA9
