accession	gene	protein_name	length	organism	organism_taxon_id	disease_uniprot_name	disease_uniprot_id	disease_acronym	mim_id	uniprot_url
O00165	HAX1	HCLS1-associated protein X-1	279	Homo sapiens	9606	Neutropenia, severe congenital 3, autosomal recessive	DI-01257	SCN3		https://rest.uniprot.org/uniprotkb/O00165
O00268	TAF4	Transcription initiation factor TFIID subunit 4	1085	Homo sapiens	9606	Intellectual developmental disorder, autosomal dominant 73	DI-06716	MRD73		https://rest.uniprot.org/uniprotkb/O00268
O00300	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B	401	Homo sapiens	9606	Paget disease of bone 5, juvenile-onset	DI-01852	PDB5		https://rest.uniprot.org/uniprotkb/O00300
O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	1044	Homo sapiens	9606	Immunodeficiency 14A with lymphoproliferation, autosomal dominant	DI-03995	IMD14A		https://rest.uniprot.org/uniprotkb/O00329
O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	1044	Homo sapiens	9606	Immunodeficiency 14B, autosomal recessive	DI-06085	IMD14B		https://rest.uniprot.org/uniprotkb/O00329
O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	1044	Homo sapiens	9606	Roifman-Chitayat syndrome	DI-06090	ROCHIS		https://rest.uniprot.org/uniprotkb/O00329
O00330	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	501	Homo sapiens	9606	Pyruvate dehydrogenase E3-binding protein deficiency	DI-01872	PDHXD		https://rest.uniprot.org/uniprotkb/O00330
O00337	SLC28A1	Sodium/nucleoside cotransporter 1	649	Homo sapiens	9606	Uridine-cytidineuria	DI-05596	URCTU		https://rest.uniprot.org/uniprotkb/O00337
O00400	SLC33A1	Acetyl-coenzyme A transporter 1	549	Homo sapiens	9606	Spastic paraplegia 42, autosomal dominant	DI-01042	SPG42		https://rest.uniprot.org/uniprotkb/O00400
O00400	SLC33A1	Acetyl-coenzyme A transporter 1	549	Homo sapiens	9606	Huppke-Brendel syndrome	DI-03388	HPBDS		https://rest.uniprot.org/uniprotkb/O00400
O00444	PLK4	Serine/threonine-protein kinase PLK4	970	Homo sapiens	9606	Microcephaly and chorioretinopathy, autosomal recessive, 2	DI-04299	MCCRP2		https://rest.uniprot.org/uniprotkb/O00444
O00462	MANBA	Beta-mannosidase	879	Homo sapiens	9606	Mannosidosis, beta A, lysosomal	DI-01922	MANSB		https://rest.uniprot.org/uniprotkb/O00462
O00505	KPNA3	Importin subunit alpha-4	521	Homo sapiens	9606	Spastic paraplegia 88, autosomal dominant	DI-06543	SPG88		https://rest.uniprot.org/uniprotkb/O00505
O00507	USP9Y	Ubiquitin carboxyl-terminal hydrolase 9Y	2555	Homo sapiens	9606	Spermatogenic failure Y-linked 2	DI-02062	SPGFY2		https://rest.uniprot.org/uniprotkb/O00507
O00712	NFIB	Nuclear factor 1 B-type	420	Homo sapiens	9606	Macrocephaly, acquired, with impaired intellectual development	DI-05465	MACID		https://rest.uniprot.org/uniprotkb/O00712
O14497	ARID1A	AT-rich interactive domain-containing protein 1A	2285	Homo sapiens	9606	Coffin-Siris syndrome 2	DI-03453	CSS2		https://rest.uniprot.org/uniprotkb/O14497
O14640	DVL1	Segment polarity protein dishevelled homolog DVL-1	695	Homo sapiens	9606	Robinow syndrome, autosomal dominant 2	DI-04392	DRS2		https://rest.uniprot.org/uniprotkb/O14640
O14654	IRS4	Insulin receptor substrate 4	1257	Homo sapiens	9606	Hypothyroidism, congenital, non-goitrous, 9	DI-05651	CHNG9		https://rest.uniprot.org/uniprotkb/O14654
O14757	CHEK1	Serine/threonine-protein kinase Chk1	476	Homo sapiens	9606	Oocyte/zygote/embryo maturation arrest 21	DI-06797	OZEMA21		https://rest.uniprot.org/uniprotkb/O14757
O14763	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	440	Homo sapiens	9606	Squamous cell carcinoma of the head and neck	DI-01696	HNSCC		https://rest.uniprot.org/uniprotkb/O14763
O14788	TNFSF11	Tumor necrosis factor ligand superfamily member 11	317	Homo sapiens	9606	Osteopetrosis, autosomal recessive 2	DI-00887	OPTB2		https://rest.uniprot.org/uniprotkb/O14788
O14813	PHOX2A	Paired mesoderm homeobox protein 2A	284	Homo sapiens	9606	Fibrosis of extraocular muscles, congenital, 2	DI-00353	CFEOM2		https://rest.uniprot.org/uniprotkb/O14813
O14908	GIPC1	PDZ domain-containing protein GIPC1	333	Homo sapiens	9606	Oculopharyngodistal myopathy 2	DI-05872	OPDM2		https://rest.uniprot.org/uniprotkb/O14908
O14926	FSCN2	Fascin-2	492	Homo sapiens	9606	Retinitis pigmentosa 30	DI-00990	RP30		https://rest.uniprot.org/uniprotkb/O14926
O14949	UQCRQ	Cytochrome b-c1 complex subunit 8	82	Homo sapiens	9606	Mitochondrial complex III deficiency, nuclear type 4	DI-03737	MC3DN4		https://rest.uniprot.org/uniprotkb/O14949
O14958	CASQ2	Calsequestrin-2	399	Homo sapiens	9606	Ventricular tachycardia, catecholaminergic polymorphic, 2	DI-00250	CPVT2		https://rest.uniprot.org/uniprotkb/O14958
O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	420	Homo sapiens	9606	Muscular dystrophy, limb-girdle, autosomal dominant 3	DI-04211	LGMDD3		https://rest.uniprot.org/uniprotkb/O14979
O15078	CEP290	Centrosomal protein of 290 kDa	2479	Homo sapiens	9606	Joubert syndrome 5	DI-00608	JBTS5		https://rest.uniprot.org/uniprotkb/O15078
O15078	CEP290	Centrosomal protein of 290 kDa	2479	Homo sapiens	9606	Senior-Loken syndrome 6	DI-01012	SLSN6		https://rest.uniprot.org/uniprotkb/O15078
O15078	CEP290	Centrosomal protein of 290 kDa	2479	Homo sapiens	9606	Leber congenital amaurosis 10	DI-00637	LCA10		https://rest.uniprot.org/uniprotkb/O15078
O15078	CEP290	Centrosomal protein of 290 kDa	2479	Homo sapiens	9606	Meckel syndrome 4	DI-00702	MKS4		https://rest.uniprot.org/uniprotkb/O15078
O15078	CEP290	Centrosomal protein of 290 kDa	2479	Homo sapiens	9606	Bardet-Biedl syndrome 14	DI-02607	BBS14		https://rest.uniprot.org/uniprotkb/O15078
O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	745	Homo sapiens	9606	Cocoon syndrome	DI-02978	COCOS		https://rest.uniprot.org/uniprotkb/O15111
O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	745	Homo sapiens	9606	Bartsocas-Papas syndrome 2	DI-06116	BPS2		https://rest.uniprot.org/uniprotkb/O15111
O15116	LSM1	U6 snRNA-associated Sm-like protein LSm1	133	Homo sapiens	9606	FICUS syndrome	DI-07033	FICUS		https://rest.uniprot.org/uniprotkb/O15116
O15119	TBX3	T-box transcription factor TBX3	743	Homo sapiens	9606	Ulnar-mammary syndrome	DI-02404	UMS		https://rest.uniprot.org/uniprotkb/O15119
O15120	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	278	Homo sapiens	9606	Lipodystrophy, congenital generalized, 1	DI-00354	CGL1		https://rest.uniprot.org/uniprotkb/O15120
O15169	AXIN1	Axin-1	862	Homo sapiens	9606	Hepatocellular carcinoma	DI-01708	HCC		https://rest.uniprot.org/uniprotkb/O15169
O15169	AXIN1	Axin-1	862	Homo sapiens	9606	Caudal duplication anomaly	DI-02877	CADUA		https://rest.uniprot.org/uniprotkb/O15169
O15169	AXIN1	Axin-1	862	Homo sapiens	9606	Craniometadiaphyseal osteosclerosis with hip dysplasia	DI-06785	CMDOH		https://rest.uniprot.org/uniprotkb/O15169
O15230	LAMA5	Laminin subunit alpha-5	3695	Homo sapiens	9606	Nephrotic syndrome 26	DI-06510	NPHS26		https://rest.uniprot.org/uniprotkb/O15230
O15230	LAMA5	Laminin subunit alpha-5	3695	Homo sapiens	9606	Bent bone dysplasia syndrome 2	DI-06527	BBDS2		https://rest.uniprot.org/uniprotkb/O15230
O15232	MATN3	Matrilin-3	486	Homo sapiens	9606	Multiple epiphyseal dysplasia 5	DI-00789	EDM5		https://rest.uniprot.org/uniprotkb/O15232
O15232	MATN3	Matrilin-3	486	Homo sapiens	9606	Spondyloepimetaphyseal dysplasia, Borochowitz-Cormier-Daire type	DI-02330	SEMDBCD		https://rest.uniprot.org/uniprotkb/O15232
O15232	MATN3	Matrilin-3	486	Homo sapiens	9606	Osteoarthritis 2	DI-02642	OS2		https://rest.uniprot.org/uniprotkb/O15232
O15259	NPHP1	Nephrocystin-1	732	Homo sapiens	9606	Nephronophthisis 1	DI-00803	NPHP1		https://rest.uniprot.org/uniprotkb/O15259
O15259	NPHP1	Nephrocystin-1	732	Homo sapiens	9606	Senior-Loken syndrome 1	DI-01009	SLSN1		https://rest.uniprot.org/uniprotkb/O15259
O15259	NPHP1	Nephrocystin-1	732	Homo sapiens	9606	Joubert syndrome 4	DI-00607	JBTS4		https://rest.uniprot.org/uniprotkb/O15259
O15265	ATXN7	Ataxin-7	892	Homo sapiens	9606	Spinocerebellar ataxia 7	DI-01071	SCA7		https://rest.uniprot.org/uniprotkb/O15265
O15266	SHOX	Short stature homeobox protein	292	Homo sapiens	9606	Leri-Weill dyschondrosteosis	DI-01891	LWD		https://rest.uniprot.org/uniprotkb/O15266
O15266	SHOX	Short stature homeobox protein	292	Homo sapiens	9606	Langer mesomelic dysplasia	DI-01876	LMD		https://rest.uniprot.org/uniprotkb/O15266
O15266	SHOX	Short stature homeobox protein	292	Homo sapiens	9606	Short stature, idiopathic, X-linked	DI-01807	ISS		https://rest.uniprot.org/uniprotkb/O15266
O15269	SPTLC1	Serine palmitoyltransferase 1	473	Homo sapiens	9606	Amyotrophic lateral sclerosis 27, juvenile	DI-06629	ALS27		https://rest.uniprot.org/uniprotkb/O15269
O15269	SPTLC1	Serine palmitoyltransferase 1	473	Homo sapiens	9606	Neuropathy, hereditary sensory and autonomic, 1A	DI-00547	HSAN1A		https://rest.uniprot.org/uniprotkb/O15269
O15297	PPM1D	Protein phosphatase 1D	605	Homo sapiens	9606	Jansen-de Vries syndrome	DI-04996	JDVS		https://rest.uniprot.org/uniprotkb/O15297
O15297	PPM1D	Protein phosphatase 1D	605	Homo sapiens	9606	Breast cancer	DI-02602	BC		https://rest.uniprot.org/uniprotkb/O15297
O15297	PPM1D	Protein phosphatase 1D	605	Homo sapiens	9606	Ovarian cancer	DI-01655	OC		https://rest.uniprot.org/uniprotkb/O15297
O15399	GRIN2D	Glutamate receptor ionotropic, NMDA 2D	1336	Homo sapiens	9606	Developmental and epileptic encephalopathy 46	DI-04845	DEE46		https://rest.uniprot.org/uniprotkb/O15399
O15484	CAPN5	Calpain-5	640	Homo sapiens	9606	Vitreoretinopathy, neovascular inflammatory	DI-03622	VRNI		https://rest.uniprot.org/uniprotkb/O15484
O15511	ARPC5	Actin-related protein 2/3 complex subunit 5	151	Homo sapiens	9606	Immunodeficiency 113 with autoimmunity and autoinflammation	DI-06786	IMD113		https://rest.uniprot.org/uniprotkb/O15511
O15520	FGF10	Fibroblast growth factor 10	208	Homo sapiens	9606	Aplasia of lacrimal and salivary glands	DI-01199	ALSG		https://rest.uniprot.org/uniprotkb/O15520
O15520	FGF10	Fibroblast growth factor 10	208	Homo sapiens	9606	Lacrimo-auriculo-dento-digital syndrome 3	DI-06573	LADD3		https://rest.uniprot.org/uniprotkb/O15520
O15533	TAPBP	Tapasin	448	Homo sapiens	9606	MHC class I deficiency 3	DI-06900	MHC1D3		https://rest.uniprot.org/uniprotkb/O15533
O15541	RNF113A	E3 ubiquitin-protein ligase RNF113A	343	Homo sapiens	9606	Trichothiodystrophy 5, non-photosensitive	DI-04442	TTD5		https://rest.uniprot.org/uniprotkb/O15541
O15554	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4	427	Homo sapiens	9606	Dehydrated hereditary stomatocytosis 2	DI-04597	DHS2		https://rest.uniprot.org/uniprotkb/O15554
O43172	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	522	Homo sapiens	9606	Retinitis pigmentosa 70	DI-04177	RP70		https://rest.uniprot.org/uniprotkb/O43172
O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	175	Homo sapiens	9606	Mitochondrial complex I deficiency, nuclear type 1	DI-01981	MC1DN1		https://rest.uniprot.org/uniprotkb/O43181
O43196	MSH5	MutS protein homolog 5	834	Homo sapiens	9606	Premature ovarian failure 13	DI-04986	POF13		https://rest.uniprot.org/uniprotkb/O43196
O43196	MSH5	MutS protein homolog 5	834	Homo sapiens	9606	Spermatogenic failure 74	DI-06417	SPGF74		https://rest.uniprot.org/uniprotkb/O43196
O43323	DHH	Desert hedgehog protein	396	Homo sapiens	9606	46,XY gonadal dysgenesis with minifascicular neuropathy	DI-02146	GDMN		https://rest.uniprot.org/uniprotkb/O43323
O43323	DHH	Desert hedgehog protein	396	Homo sapiens	9606	46,XY sex reversal 7	DI-01379	SRXY7		https://rest.uniprot.org/uniprotkb/O43323
O43395	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	683	Homo sapiens	9606	Retinitis pigmentosa 18	DI-00984	RP18		https://rest.uniprot.org/uniprotkb/O43395
O43464	HTRA2	Serine protease HTRA2, mitochondrial	458	Homo sapiens	9606	3-methylglutaconic aciduria 8	DI-04904	MGCA8		https://rest.uniprot.org/uniprotkb/O43464
O43464	HTRA2	Serine protease HTRA2, mitochondrial	458	Homo sapiens	9606	Parkinson disease 13	DI-02138	PARK13		https://rest.uniprot.org/uniprotkb/O43464
O43525	KCNQ3	Potassium voltage-gated channel subfamily KQT member 3	872	Homo sapiens	9606	Seizures, benign familial neonatal 2	DI-00183	BFNS2		https://rest.uniprot.org/uniprotkb/O43525
O43526	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2	872	Homo sapiens	9606	Seizures, benign familial neonatal 1	DI-00182	BFNS1		https://rest.uniprot.org/uniprotkb/O43526
O43526	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2	872	Homo sapiens	9606	Developmental and epileptic encephalopathy 7	DI-02992	DEE7		https://rest.uniprot.org/uniprotkb/O43526
O43543	XRCC2	DNA repair protein XRCC2	280	Homo sapiens	9606	Fanconi anemia, complementation group U	DI-04905	FANCU		https://rest.uniprot.org/uniprotkb/O43543
O43543	XRCC2	DNA repair protein XRCC2	280	Homo sapiens	9606	Spermatogenic failure 50	DI-05977	SPGF50		https://rest.uniprot.org/uniprotkb/O43543
O43543	XRCC2	DNA repair protein XRCC2	280	Homo sapiens	9606	Premature ovarian failure 17	DI-05974	POF17		https://rest.uniprot.org/uniprotkb/O43543
O43548	TGM5	Protein-glutamine gamma-glutamyltransferase 5	720	Homo sapiens	9606	Peeling skin syndrome 2	DI-02148	PSS2		https://rest.uniprot.org/uniprotkb/O43548
O43556	SGCE	Epsilon-sarcoglycan	437	Homo sapiens	9606	Dystonia 11, myoclonic	DI-00418	DYT11		https://rest.uniprot.org/uniprotkb/O43556
O43593	HR	Lysine-specific demethylase hairless	1189	Homo sapiens	9606	Alopecia universalis congenita	DI-00078	ALUNC		https://rest.uniprot.org/uniprotkb/O43593
O43593	HR	Lysine-specific demethylase hairless	1189	Homo sapiens	9606	Atrichia with papular lesions	DI-00154	APL		https://rest.uniprot.org/uniprotkb/O43593
O43593	HR	Lysine-specific demethylase hairless	1189	Homo sapiens	9606	Hypotrichosis 4	DI-02514	HYPT4		https://rest.uniprot.org/uniprotkb/O43593
O43826	SLC37A4	Glucose-6-phosphate exchanger SLC37A4	429	Homo sapiens	9606	Glycogen storage disease 1B	DI-00519	GSD1B		https://rest.uniprot.org/uniprotkb/O43826
O43826	SLC37A4	Glucose-6-phosphate exchanger SLC37A4	429	Homo sapiens	9606	Glycogen storage disease 1C	DI-00520	GSD1C		https://rest.uniprot.org/uniprotkb/O43826
O43826	SLC37A4	Glucose-6-phosphate exchanger SLC37A4	429	Homo sapiens	9606	Glycogen storage disease 1D	DI-00521	GSD1D		https://rest.uniprot.org/uniprotkb/O43826
O43826	SLC37A4	Glucose-6-phosphate exchanger SLC37A4	429	Homo sapiens	9606	Congenital disorder of glycosylation 2W	DI-06226	CDG2W		https://rest.uniprot.org/uniprotkb/O43826
O43897	TLL1	Tolloid-like protein 1	1013	Homo sapiens	9606	Atrial septal defect 6	DI-02498	ASD6		https://rest.uniprot.org/uniprotkb/O43897
O43903	GAS2	Growth arrest-specific protein 2	313	Homo sapiens	9606	Deafness, autosomal recessive, 125	DI-06921	DFNB125		https://rest.uniprot.org/uniprotkb/O43903
O43914	TYROBP	TYRO protein tyrosine kinase-binding protein	113	Homo sapiens	9606	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 1	DI-02174	PLOSL1		https://rest.uniprot.org/uniprotkb/O43914
O60266	ADCY3	Adenylate cyclase type 3	1144	Homo sapiens	9606	Obesity	DI-01221	OBESITY		https://rest.uniprot.org/uniprotkb/O60266
O60281	ZNF292	Zinc finger protein 292	2723	Homo sapiens	9606	Intellectual developmental disorder, autosomal dominant 64	DI-06050	MRD64		https://rest.uniprot.org/uniprotkb/O60281
O60307	MAST3	Microtubule-associated serine/threonine-protein kinase 3	1309	Homo sapiens	9606	Developmental and epileptic encephalopathy 108	DI-06547	DEE108		https://rest.uniprot.org/uniprotkb/O60307
O60315	ZEB2	Zinc finger E-box-binding homeobox 2	1214	Homo sapiens	9606	Mowat-Wilson syndrome	DI-01749	MOWS		https://rest.uniprot.org/uniprotkb/O60315
O60393	NOBOX	Homeobox protein NOBOX	691	Homo sapiens	9606	Premature ovarian failure 5	DI-02195	POF5		https://rest.uniprot.org/uniprotkb/O60393
O60481	ZIC3	Zinc finger protein ZIC 3	467	Homo sapiens	9606	Heterotaxy, visceral, 1, X-linked	DI-02463	HTX1		https://rest.uniprot.org/uniprotkb/O60481
O60481	ZIC3	Zinc finger protein ZIC 3	467	Homo sapiens	9606	VACTERL association X-linked with or without hydrocephalus	DI-02462	VACTERLX		https://rest.uniprot.org/uniprotkb/O60481
O60481	ZIC3	Zinc finger protein ZIC 3	467	Homo sapiens	9606	Congenital heart defects, multiple types, 1, X-linked	DI-03598	CHTD1		https://rest.uniprot.org/uniprotkb/O60481
O60568	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	738	Homo sapiens	9606	BCARD syndrome	DI-01923	BCARD		https://rest.uniprot.org/uniprotkb/O60568
O60687	SRPX2	Sushi repeat-containing protein SRPX2	465	Homo sapiens	9606	Rolandic epilepsy, impaired intellectual development, and speech dyspraxia, X-linked	DI-02456	RESDX		https://rest.uniprot.org/uniprotkb/O60687
O60706	ABCC9	ATP-binding cassette sub-family C member 9	1549	Homo sapiens	9606	Cardiomyopathy, dilated, 1O	DI-00221	CMD1O		https://rest.uniprot.org/uniprotkb/O60706
O60706	ABCC9	ATP-binding cassette sub-family C member 9	1549	Homo sapiens	9606	Atrial fibrillation, familial, 12	DI-03143	ATFB12		https://rest.uniprot.org/uniprotkb/O60706
O60706	ABCC9	ATP-binding cassette sub-family C member 9	1549	Homo sapiens	9606	Hypertrichotic osteochondrodysplasia	DI-03485	HTOCD		https://rest.uniprot.org/uniprotkb/O60706
O60706	ABCC9	ATP-binding cassette sub-family C member 9	1549	Homo sapiens	9606	Intellectual disability and myopathy syndrome	DI-06322	IDMYS		https://rest.uniprot.org/uniprotkb/O60706
O60741	HCN1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	890	Homo sapiens	9606	Developmental and epileptic encephalopathy 24	DI-04145	DEE24		https://rest.uniprot.org/uniprotkb/O60741
O60741	HCN1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	890	Homo sapiens	9606	Generalized epilepsy with febrile seizures plus 10	DI-05599	GEFSP10		https://rest.uniprot.org/uniprotkb/O60741
O60784	TOM1	Target of Myb1 membrane trafficking protein	492	Homo sapiens	9606	Immunodeficiency 85	DI-06218	IMD85		https://rest.uniprot.org/uniprotkb/O60784
O60879	DIAPH2	Protein diaphanous homolog 2	1101	Homo sapiens	9606	Premature ovarian failure 2A	DI-02191	POF2A		https://rest.uniprot.org/uniprotkb/O60879
O60882	MMP20	Matrix metalloproteinase-20	483	Homo sapiens	9606	Amelogenesis imperfecta, hypomaturation type, 2A2	DI-00092	AI2A2		https://rest.uniprot.org/uniprotkb/O60882
O60930	RNASEH1	Ribonuclease H1	286	Homo sapiens	9606	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2	DI-04488	PEOB2		https://rest.uniprot.org/uniprotkb/O60930
O60938	KERA	Keratocan	352	Homo sapiens	9606	Cornea plana 2, autosomal recessive	DI-02364	CNA2		https://rest.uniprot.org/uniprotkb/O60938
O60939	SCN2B	Sodium channel regulatory subunit beta-2	215	Homo sapiens	9606	Atrial fibrillation, familial, 14	DI-03856	ATFB14		https://rest.uniprot.org/uniprotkb/O60939
O75072	FKTN	Ribitol-5-phosphate transferase FKTN	461	Homo sapiens	9606	Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A4	DI-00364	MDDGA4		https://rest.uniprot.org/uniprotkb/O75072
O75072	FKTN	Ribitol-5-phosphate transferase FKTN	461	Homo sapiens	9606	Muscular dystrophy-dystroglycanopathy congenital without impaired intellectual development B4	DI-02728	MDDGB4		https://rest.uniprot.org/uniprotkb/O75072
O75072	FKTN	Ribitol-5-phosphate transferase FKTN	461	Homo sapiens	9606	Muscular dystrophy-dystroglycanopathy limb-girdle C4	DI-00669	MDDGC4		https://rest.uniprot.org/uniprotkb/O75072
O75072	FKTN	Ribitol-5-phosphate transferase FKTN	461	Homo sapiens	9606	Cardiomyopathy, dilated, 1X	DI-00227	CMD1X		https://rest.uniprot.org/uniprotkb/O75072
O75175	CNOT3	CCR4-NOT transcription complex subunit 3	753	Homo sapiens	9606	Intellectual developmental disorder with speech delay, autism and dysmorphic facies	DI-05707	IDDSADF		https://rest.uniprot.org/uniprotkb/O75175
O75190	DNAJB6	DnaJ homolog subfamily B member 6	326	Homo sapiens	9606	Muscular dystrophy, limb-girdle, autosomal dominant 1	DI-03434	LGMDD1		https://rest.uniprot.org/uniprotkb/O75190
O75339	CILP	Cartilage intermediate layer protein 1	1184	Homo sapiens	9606	Intervertebral disc disease	DI-01829	IDD		https://rest.uniprot.org/uniprotkb/O75339
O75344	FKBP6	Inactive peptidyl-prolyl cis-trans isomerase FKBP6	327	Homo sapiens	9606	Spermatogenic failure 77	DI-06530	SPGF77		https://rest.uniprot.org/uniprotkb/O75344
O75369	FLNB	Filamin-B	2602	Homo sapiens	9606	Atelosteogenesis 1	DI-00142	AO1		https://rest.uniprot.org/uniprotkb/O75369
O75369	FLNB	Filamin-B	2602	Homo sapiens	9606	Atelosteogenesis 3	DI-00144	AO3		https://rest.uniprot.org/uniprotkb/O75369
O75369	FLNB	Filamin-B	2602	Homo sapiens	9606	Boomerang dysplasia	DI-01289	BOOMD		https://rest.uniprot.org/uniprotkb/O75369
O75369	FLNB	Filamin-B	2602	Homo sapiens	9606	Larsen syndrome	DI-01214	LRS		https://rest.uniprot.org/uniprotkb/O75369
O75369	FLNB	Filamin-B	2602	Homo sapiens	9606	Spondylocarpotarsal synostosis syndrome	DI-02329	SCT		https://rest.uniprot.org/uniprotkb/O75369
O75443	TECTA	Alpha-tectorin	2155	Homo sapiens	9606	Deafness, autosomal dominant, 12	DI-00842	DFNA12		https://rest.uniprot.org/uniprotkb/O75443
O75443	TECTA	Alpha-tectorin	2155	Homo sapiens	9606	Deafness, autosomal recessive, 21	DI-00865	DFNB21		https://rest.uniprot.org/uniprotkb/O75443
O75503	CLN5	Bis(monoacylglycero)phosphate synthase CLN5	358	Homo sapiens	9606	Ceroid lipofuscinosis, neuronal, 5	DI-00813	CLN5		https://rest.uniprot.org/uniprotkb/O75503
O75554	WBP4	WW domain-binding protein 4	376	Homo sapiens	9606	Neurodevelopmental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities	DI-06914	NEDHFDB		https://rest.uniprot.org/uniprotkb/O75554
